threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-ng-setting href,js-response href
"垢版
|
0209 名無しどんぶらこ 2025/11/27(木) 22:54:17.22",">>198
だから帰国命令出さないんだろうな",,>>198,,,,ID:Z8DvgI7m0(2/2),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0210 名無しどんぶらこ 2025/11/27(木) 22:54:21.30","来るな来るな
シナ人は絶対来るな",,,,,,ID:1UuywRYY0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0211 名無しどんぶらこ 2025/11/27(木) 22:54:24.38",">>186
それは医師が1人を見殺しにしても百万人救ったら英雄というのとおなじ論法だよ",,>>186,,,,ID:r9Bnf6Ju0(2/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0212 名無しどんぶらこ 2025/11/27(木) 22:54:28.39",">>133
嘘かどうかはそこまで重要じゃない
中国に不都合なことをすればこんなに面倒くさいんだぞと全世界に分からせてるんだよ",,>>133,,,,ID:CqtE3Dz40,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0213 名無しどんぶらこ 2025/11/27(木) 22:54:29.11","侮辱したら負傷するのか中国人て
デリケートすぎて草",,,,,,ID:ytxo6DqW0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0214 名無しどんぶらこ 2025/11/27(木) 22:54:29.75","なんだったら日本にいるのをシナ国の力で戻してくれればもっと中国人の安全守られるよ
強制帰国命令もだしてはよ",,,,,,ID:UUYLPYbx0(2/8),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0215 名無しどんぶらこ 2025/11/27(木) 22:54:33.17",はよ渡航禁止にしろや　あと帰国命令も出せよ,,,,,,ID:2+W2njiO0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0216 名無しどんぶらこ 2025/11/27(木) 22:54:41.17",パヨはこれ見てどう感じてるの？ww,,,,,,ID:tJ77Y4Ru0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0217 名無しどんぶらこ 2025/11/27(木) 22:54:49.91",はー…あほらし…こんなん相手にしてると思うと…,,,,,,ID:5iVvdYqW0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0218 名無しどんぶらこ 2025/11/27(木) 22:55:09.81",渡航禁止に加えて日本在住の中国人民も引き揚げさせたほうがいいよ,,,,,,ID:HAA3+/xG0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0219 名無しどんぶらこ 2025/11/27(木) 22:55:19.23",日本人怖い狂暴すぎる,,,,,,ID:LBpPFAeq0,2,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0220 名無しどんぶらこ 2025/11/27(木) 22:55:32.28",そんな酷い国に居ついたりわざわざ観光に来る中国人はバカなの？スパイなの？北京原人なの？,,,,,,ID:/KoQbO2D0(1/3),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0221 名無しどんぶらこ 2025/11/27(木) 22:55:48.28",">>10
来年行くつもりだった
間に合うかな",,>>10,,,,ID:mRH3lcAq0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0222 名無しどんぶらこ 2025/11/27(木) 22:55:51.08","韓国ネトウヨは今反中に夢中
もう日本は眼中に無いんだな

https://video.twimg....2N2PrtyUt.mp4?tag=19",https://video.twimg.com/ext_tw_video/1994028704645959682/pu/vid/avc1/1280x720/Z9RiUmr2N2PrtyUt.mp4?tag=19,https://video.twimg....2N2PrtyUt.mp4?tag=19,,,,ID:6VB+XDoZ0,3,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0223 名無しどんぶらこ 2025/11/27(木) 22:55:52.95",">>216
「俺たちが侮辱されたことをちゃんと見ていてくださっている」",,>>216,,,,ID:tgTw4Yh80(3/11),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0224 名無しどんぶらこ 2025/11/27(木) 22:56:05.96",">>1
危険かも知れませんので、帰国命令した方が良いのでは？？？
清水ははよ帰れや",,>>1,,,,ID:oTg9q1jD0(2/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0225 名無しどんぶらこ 2025/11/27(木) 22:56:06.46",師走で忙しくてそんな暇はない,,,,,,ID:qCFOjN6Q0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0226 名無しどんぶらこ 2025/11/27(木) 22:56:07.57",まじかよジャップ最低だな,,,,,,ID:xmwQ4Kfq0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0227 名無しどんぶらこ 2025/11/27(木) 22:56:08.75",キーボード叩いたの？,,,,,,ID:j9DydUAf0(3/5),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0228 名無しどんぶらこ 2025/11/27(木) 22:56:13.72","なんかもう可哀相になってくるな
大丈夫か？チャイナ",,,,,,ID:o0k16JFV0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0229 名無しどんぶらこ 2025/11/27(木) 22:56:19.96",">>219
列車事故を埋めて無かった事にするとかよりはマシ",,>>219,,,,ID:n7ik2Q7c0(2/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0230 名無しどんぶらこ 2025/11/27(木) 22:56:23.62","韓国ではめちゃくちゃ反中デモ起きてるみたいじゃん(笑)

日本のゴミパヨはどうすんの？
サベチユすんなーって吠えないの？
「クラッシューチャイナ！ クラッシューチャイナ！」",,,,,,ID:9+W9TEte0(1/5),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0231 名無しどんぶらこ 2025/11/27(木) 22:56:26.88",中国人よりやばいとかどこの世界の日本だよ,,,,,,ID:Ex82GUZN0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0232 名無しどんぶらこ 2025/11/27(木) 22:56:34.24","半年前くらいにどぎつい反日映画を公開してたし、14億人も入れば中には日本人なら殺してもいいと実際に動く奴がいてもおかしくない
これは誘導以外に他ならない",,,,,,ID:ng7hEwPC0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0233 名無しどんぶらこ 2025/11/27(木) 22:57:09.19","まだ来てるぞ中国人観光客
早く全面渡航禁止にしないと早く早く",,,,,,ID:HH8HrBFu0(1/2),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0234 名無しどんぶらこ 2025/11/27(木) 22:57:09.66",中国人は礼儀知らず！ばか！,,,,,,ID:re6TtKyQ0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0235 名無しどんぶらこ 2025/11/27(木) 22:57:09.71","抗日ってのいうのは

中共独裁の、

あるいは愚民統制のツールだ

サヨクどもが最も嫌うタイプのナショナリズムだが
なぜか日本のサヨクたちはこういうのが好みらしい

「日本はこんなに悪いことをしました」と
せっせと中共のアシストに余念がない

イカれた話だよ、まったく",,,,,,ID:Ex9cwIzH0(1/3),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0236 名無しどんぶらこ 2025/11/27(木) 22:57:10.68","中国人は可哀想だよ
どんなにゴミ政治やってても従うしか無いのだから",,,,,,ID:meFfSyG20(2/4),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0237 名無しどんぶらこ 2025/11/27(木) 22:57:11.66","そうそう、日本は危険だから中国人も韓国人も日本から引き上げましょう！
在日帰化も中国韓国が引き取ってね！
中国♡韓国でくっついてラブラブしてればいいんだよ
こっち見んな",,,,,,ID:bt+ln8tg0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0238 名無しどんぶらこ 2025/11/27(木) 22:57:20.10","中国人同士のいざこざだろ
民泊や白タクのぼったくり料金で喧嘩になるんだろ",,,,,,ID:mpwcxJ5v0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0239 名無しどんぶらこ 2025/11/27(木) 22:57:20.52","中国人が日本にいるとクマの餌や人柱になっちゃうな
危ないからはよ帰って二度と来ないで",,,,,,ID:UUYLPYbx0(3/8),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0240 名無しどんぶらこ 2025/11/27(木) 22:57:24.51","攻撃的な嫌がらせで通報よろしく
>>そういうわけで個人的には、こっち来るなしっしっ、な心境なのであります、、

#台湾史
https://x.com/Notall...7UNiHd_Xxx_YuHQ&s=19",https://x.com/Notallena728/status/1994020811238461452?t=IPtRTUL7UNiHd_Xxx_YuHQ&s=19,https://x.com/Notall...7UNiHd_Xxx_YuHQ&s=19,,,,ID:TURWOG8b0(2/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0241 名無しどんぶらこ 2025/11/27(木) 22:57:26.88",これでいいのだ,,,,,,ID:H63/HCUm0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0242 名無しどんぶらこ 2025/11/27(木) 22:57:28.86",そのうち中華自演で被害者コスプレニュースをNHKでやるかもね。,,,,,,ID:8CjTY7yw0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0243 名無しどんぶらこ 2025/11/27(木) 22:57:33.08",">>215
これ
もうビザも発行するなよ
外交官以外出ていけ（居なくてもいいが）",,>>215,,,,ID:wV/olXuW0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0244 名無しどんぶらこ 2025/11/27(木) 22:57:35.10",">>222
なんでアメリカ国旗掲げてるの？",,>>222,,,,ID:fuMyHriY0(4/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0245 名無しどんぶらこ 2025/11/27(木) 22:57:37.90",">>209
長野市で行われた北京オリンピック聖火リレーで、善光寺がチベット問題を理由に敷地内の聖火のスタート拒否したら
あれよあれよと言う間に中国人が集結して凄い騒ぎになったからな。有事になったらあれのもっと凄いのがおこるｗ",,>>209,,,,ID:t2FVW2uu0(3/4),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0246 名無しどんぶらこ 2025/11/27(木) 22:57:43.03",なんでもいいから二度と中国人は日本に来ないでください,,,,,,ID:3mWR9Fwx0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0247 名無しどんぶらこ 2025/11/27(木) 22:57:45.32","断交でいいよな
負債が出ようがチャイナリスク言われてる現状で未だに中国に依存してる奴らの自己責任でしょ
脱中国しようとしてるところは増えてるんだしな",,,,,,ID:hMyxlNs40,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0248 名無しどんぶらこ 2025/11/27(木) 22:58:06.39","さすがにこっちが恥ずかしくなるレベルｗ
こじらせた中学生と同レベルだわｗ",,,,,,ID:srNEPAR90,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0249 名無しどんぶらこ 2025/11/27(木) 22:58:10.26",">>1
かなり必死だな
たぶん、ツアー客を扱ってる旅行代理店しか規制に応じなくて個人客は今でも日本に出かけてるから
改めて行くな！って個人を脅してるんだと思う

2012年は団体客が半数以上だったけどそれでも25％しか減ってない
ましてや今年は個人客７：団体客３になってるから、このままだったら15％しか減らない計算になる
それじゃ日本への制裁になんかならない",,>>1,,,,ID:eKbuaNrB0(1/27),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0250 名無しどんぶらこ 2025/11/27(木) 22:58:11.48",">>232
反日映画ってどこが？ナチスドイツと戦う映画は反独映画とか思うか？",,>>232,,,,ID:X8NRpRKc0(4/14),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0251 名無しどんぶらこ 2025/11/27(木) 22:58:20.57",奈良のことか,,,,,,ID:VYkacCex0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0252 名無しどんぶらこ 2025/11/27(木) 22:58:27.43",">>222
韓国の宗教の傘下に日本の与党を置いているし",,>>222,,,,ID:tgTw4Yh80(4/11),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0253 名無しどんぶらこ 2025/11/27(木) 22:58:50.72",さすが朝鮮の親方だな,,,,,,ID:JEwvBeoV0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0254 名無しどんぶらこ 2025/11/27(木) 22:58:57.59",いいぞー、どんどんやれ！,,,,,,ID:N4wuSA2l0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0255 名無しどんぶらこ 2025/11/27(木) 22:59:06.94",">>109
日本人は優先して捕縛される国だから危ない
捕まると理由分からず有罪にされる",,>>109,,,,ID:8XWieKlL0(2/6),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0256 名無しどんぶらこ 2025/11/27(木) 22:59:09.46",中国人の民泊白タクが死んでしまう,,,,,,ID:QuqvEMVO0(1/5),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0257 名無しどんぶらこ 2025/11/27(木) 22:59:11.62",">>233
こういう事言ってるのは日本の地元経済にダメージを与えようとする反日勢力の工作活動のように思う",,>>233,,,,ID:X8NRpRKc0(5/14),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0258 名無しどんぶらこ 2025/11/27(木) 22:59:16.57",じゃあ危ないから控えてね,,,,,,ID:dZ+tmwP70,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0259 名無しどんぶらこ 2025/11/27(木) 22:59:17.34",">>212
嘘かどうかが重要じゃない？
ええ？？本気で言ってんの？",,>>212,,,,ID:gC5F480J0(3/5),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0260 名無しどんぶらこ 2025/11/27(木) 22:59:22.58","だから禁止にしろよ
ついでに人民が日本へ固定資産税払うのも",,,,,,ID:x1GLebLL0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0261 名無しどんぶらこ 2025/11/27(木) 22:59:23.75","そして、こんなトンデモデマに踊らされる愚民だから
いざとなったら真っ先に切り捨てられる",,,,,,ID:Ex9cwIzH0(2/3),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0262 名無しどんぶらこ 2025/11/27(木) 22:59:38.46","反中デモやってる韓国
やってない日本
なのに中国のこの態度
どういう認知の歪みが生じてるのか",,,,,,ID:tZlB0e5v0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0263 名無しどんぶらこ 2025/11/27(木) 22:59:40.97",政権批判どころか親日的な発言もできなくなってるからな,,,,,,ID:fuMyHriY0(5/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0264 名無しどんぶらこ 2025/11/27(木) 23:00:01.53",自国でやれよw,,,,,,ID:WeQ+PrcR0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0265 名無しどんぶらこ 2025/11/27(木) 23:00:03.98",">>248
いや、今のままじゃ全然効かんのだよ
2012年の制裁時と違って個人客が7割になってそいつらはリピーターだから
でも個人客をコントロールする手段がないから、日本は危険って煽って止めようとしてるんだけど
個人で日本に来る客なんかリピーターだからみんな日本の現地情報くらい知ってる
んなあほなって笑われるだけ

逆に言ったらこういう警告を何度も出すってことは、個人客を止められないってことだよ",,>>248,,,,ID:eKbuaNrB0(2/27),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0266 名無しどんぶらこ 2025/11/27(木) 23:00:09.73",ここまで嘘をつくと何が本当か分からなくならないのか,,,,,,ID:bb26Inkv0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0267 名無しどんぶらこ 2025/11/27(木) 23:00:13.72",日本でそのようなニュースがないのはなぜ？,,,,,,ID:/3bifEHR0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0268 名無しどんぶらこ 2025/11/27(木) 23:00:13.91",別に来たくないんだったら無理して来ずに韓国にでもどうぞ,,,,,,ID:oKqWxrHN0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0269 名無しどんぶらこ 2025/11/27(木) 23:00:24.08",">>1
渡航禁止にしたほうよくね",,>>1,,,,ID:+Q/mZumO0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0270 名無しどんぶらこ 2025/11/27(木) 23:00:24.66",">>1　中共中国の
統制弾圧独裁による隠ぺい虚偽捏造スレタイの内容に
騙される動じるような人々は日本に来なくて良いからＯＫ。",,>>1,,,,ID:tZLMup2V0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0271 名無しどんぶらこ 2025/11/27(木) 23:00:25.54","そんな危険な国に渡航禁止命令も退避指示も出さないとかとんだ無能政府だな
大朝鮮との揶揄は伊達じゃない",,,,,,ID:kUMvj2PX0(1/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0272 名無しどんぶらこ 2025/11/27(木) 23:00:31.31",">>219
いま韓国では反中デモ凄いね(笑)

クラッシューチャイナ
クラッシューチャイナ！だってさ(笑)",,>>219,,,,ID:9+W9TEte0(2/5),2,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0273 名無しどんぶらこ 2025/11/27(木) 23:00:51.36",">>247
経済なんて回り回って色んなところに影響出るんだから中国相手にビジネスしてる人だけが影響出るわけじゃないんだぞ",,>>247,,,,ID:X8NRpRKc0(6/14),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0274 名無しどんぶらこ 2025/11/27(木) 23:00:55.69",さてドル高いから国内旅行満喫するか,,,,,,ID:a0txeLnr0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0275 名無しどんぶらこ 2025/11/27(木) 23:01:03.18","1番日本人がやらない行為だわ
そのうち日本人装ったやつが暴れる動画が流れるよ
soraって付いてるやつがw",,,,,,ID:Z6npUAF/0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0276 名無しどんぶらこ 2025/11/27(木) 23:01:05.41","このスレを見てる中国人に言いたい
中国の普通の人が、政府の情報操作に振り回されずに
自分の意志で未来を選べるようになってほしい
がんばれ中国の市民
あなたたちは悪くない",,,,,,ID:yR2qasa10(3/3),3,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0277 名無しどんぶらこ 2025/11/27(木) 23:01:07.84",片目が疼いてる感じ？包帯か眼帯いる感じ？(´つω・`),,,,,,ID:j9DydUAf0(4/5),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0278 名無しどんぶらこ 2025/11/27(木) 23:01:22.44",">>257
中国人が来なくなればほかの国から来るんだよーん",,>>257,,,,ID:HH8HrBFu0(2/2),3,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0279 名無しどんぶらこ 2025/11/27(木) 23:01:31.25",中国共産党傘下の立憲共産社民あたりに嘘でも騒げという指令かな,,,,,,ID:9K5fVUzc0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0280 名無しどんぶらこ 2025/11/27(木) 23:01:42.83",日本人が中国人を不当に差別しているのは事実。,,,,,,ID:vF/goIJE0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0281 名無しどんぶらこ 2025/11/27(木) 23:02:00.93","めっちゃ中国人襲われてる
まじ来ない方がいいよ",,,,,,ID:UmuOKRu10(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0282 名無しどんぶらこ 2025/11/27(木) 23:02:08.51",">>222
習近平に向って「クラッシュチャイナ！クラッシュチャイナ！」のおじさん笑える

チャイニーズ世界中で嫌われてるのだ",,>>222,,,,ID:9+W9TEte0(3/5),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0283 名無しどんぶらこ 2025/11/27(木) 23:02:11.84",">>278
それを日本のことわざで取らぬ狸の皮算用って言うんだよ",,>>278,,,,ID:X8NRpRKc0(7/14),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0284 名無しどんぶらこ 2025/11/27(木) 23:02:11.89",そこまで日本が危険な状態なら退避勧告出せよｗ,,,,,,ID:x5Z7y+5Y0(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0285 名無しどんぶらこ 2025/11/27(木) 23:02:20.01",">>245　昔、長野オリンピックで中国人留学生が暴動を起こせと本国から命令されて暴れていたのはそれが理由か
納得したわー　やっぱ中国共産党はダメだね",,>>245,,,,ID:XxDd5Dd50(2/2),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0286 名無しどんぶらこ 2025/11/27(木) 23:02:26.98",へずまりゅうのこと指して言ってるのなら正しいよなwwww,,,,,,ID:32CfmpZy0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0287 名無しどんぶらこ 2025/11/27(木) 23:02:27.00",">>1
お前らだけだよ日本人をそんな風に見てんのはww",,>>1,,,,ID:80aqI9Zv0(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0288 名無しどんぶらこ 2025/11/27(木) 23:02:28.49","シナじゃあるまいし

そんなこと起きてねーよw",,,,,,ID:Fj80s+fe0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0289 名無しどんぶらこ 2025/11/27(木) 23:02:28.52",ネット時代に政府の印象操作が上手くいくと思ってるキンペーは馬鹿なの,,,,,,ID:mjhx5tty0(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0290 名無しどんぶらこ 2025/11/27(木) 23:02:29.19",">>272
コリアンも必死になってきたな",,>>272,,,,ID:aW8wDy0U0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0291 名無しどんぶらこ 2025/11/27(木) 23:02:31.72",">>276
中国国内からこのスレを見られる中国人は、なんらかの串を与えられた精鋭",,>>276,,,,ID:tgTw4Yh80(5/11),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0292 名無しどんぶらこ 2025/11/27(木) 23:02:34.83",">>269
中国は制裁するときに「この発言に対する制裁や」とか特定しないの
下手したらWTOのサービス協定違反になる可能性あるし

表向きは現地が危険だとか検疫に時間かかったとか航空会社の都合とか色々ウソの理由をつける
これも本当は「日本に行くなよ」って言いたいけど言えないから「危険だから自粛しろ」って体にしてるだけ

でも今頃こういう勧告出すってことは、個人客が止められてないってこと",,>>269,,,,ID:eKbuaNrB0(3/27),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0293 名無しどんぶらこ 2025/11/27(木) 23:02:35.38",">>278
おい、左翼がひたすら目を逸らす現実をぶつけてやるなよ",,>>278,,,,ID:kUMvj2PX0(2/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0294 名無しどんぶらこ 2025/11/27(木) 23:02:58.19","つじもと清美　X
https://x.com/tsujim...941303877677497?s=20
「そんなことより定数削減をやりましょう」

企業団体献金の限定への姿勢を問うた野田代表の質問を、高市総理が定数削減にねじまげた。
自民党が招いた企業団体献金問題を「そんなこと」と言い放ったことも驚いたが、同時に
「定数削減を解散の口実にするサインでは」
という思いが心をよぎった。
これは、かつての郵政選挙の再現を狙っているのではないか？

自民と維新が「定数削減を今国会（会期は12月17日まで）で決めろ」と声高に言い出した。
政権が設定した「争点」に反対する「抵抗勢力」を作り出し、「国民に賛否を決めてもらう」といって、支持率が高い間に解散に持ちこもうという下心が見え隠れする。

これ、小泉元総理が「郵政解散」をやった手法ではないか。

そもそも議員定数というのは、国民の声をしっかり国会に届けるには、どんな選挙制度で何人の議員がよいか――という民主主義の根幹の課題だ。

「身を切る改革」でも「国会議員の覚悟を示す」という次元の問題でもない。
全ての党派で、国会の正式機関において議論するべきであって、残り数週間で決めろなどと言うのは国民の代表としての責任ある態度ではない。

国民のためどころか、まさに「党利党略」に議員定数を利用することはあってはならない。",https://x.com/tsujimotokiyomi/status/1993941303877677497?s=20,https://x.com/tsujim...941303877677497?s=20,,,,ID:Pq7nRTWd0(1/6),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0295 名無しどんぶらこ 2025/11/27(木) 23:03:09.04",五流国レベルのイチャモンで笑える,,,,,,ID:lz23r5YU0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0296 名無しどんぶらこ 2025/11/27(木) 23:03:10.03",">>1
馬鹿「中国ふざけんなよ！もう来るなよ。迷惑だからよ！高市さん最高！岡田が悪い！」

馬鹿じゃない人「はいはい、そりゃ外交カード活用して許容できる範囲で嫌がらせしてくるやろ。ほんと高市とかいう馬鹿のせいで損するのゴミやな」",,>>1,,,,ID:c3+1C8xm0,1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
