threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),js-ng-setting href,js-response href
"垢版
|
0143 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:30:42.51",">>137
日本と韓国は兄弟に例えられるほど密接な関係にあります
反日国ではなく日本にとっての味方国です??",,>>137,,ID:8mwoT5GX(8/8),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0144 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:31:08.97",グレタ板ソース、はアホが過ぎる,,,,ID:NUBhzP+t(6/32),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0145 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:31:25.70",">>138

お前の願望なんぞ要らん",,>>138,,ID:8vwXJWbk(12/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0146 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:31:33.92",">>139
韓国国内では日本が中国に殴られてると大喜びだそうな",,>>139,,ID:yuajKHLi(7/16),2,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0147 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:31:36.41","権田田吾作


143 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:30:42.51 ID:8mwoT5GX
>>
日本と韓国は兄弟に例えられるほど密接な関係にあります
反日国ではなく日本にとっての味方国です??",,,,ID:L6vWtai2(1/4),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0148 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:31:51.50",国家で兄弟観とか……,,,,ID:NUBhzP+t(7/32),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0149 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:31:57.85",">>141

HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
ナイスジョーク　間抜け",,>>141,,ID:8vwXJWbk(13/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0150 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:32:01.21",">>135
冗談抜きで、中共に「我が国は台湾に軍事侵攻する気は全くない、
あくまで平和的統一を望む」と言わしめれば世界中から称賛されるぞ。

????韓国にそれが可能だったら。",,>>135,,ID:fOGlX385(3/8),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0151 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:32:01.36",">>139
わざわざ自分から台湾問題に首突っ込む必要がない
西側のキープレーヤーでありながら粛々と中国との関係も強化するバランサー外交は大韓にしかできんだろ",,>>139,,ID:7YT7X58+(4/5),4,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0152 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:32:09.89",その立民は政治音痴。,,,,ID:DsJ44RCw,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0153 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:32:20.77",">>134
「オールドメディアがもう世論を動かせない」という事がハッキリしたよね。
高市は運がいい。ネットが、特にＸ民の意見が世論を動かしてる時に総理になったんだから。
今ではテレビ持ってる人の方が珍しくなってきたし、新聞もとってないし、だれもオールドメディアを信じてない。
だから中国の思うように、日本国民が騙されてくれなかった。ざまあとしか言えんわｗ",,>>134,,ID:5UyP4mSy(16/30),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0154 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:33:02.67",">>146
家長に従え、儒教腐れだねぇ",,>>146,,ID:NUBhzP+t(8/32),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0155 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:33:27.72",">>151
「わたしは断言してもよいが、中立を保つことは、あまり有効な選択ではないと思う。
中立でいると、勝者にとっては敵になるだけでなく、敗者にとっても助けてくれなかったということで敵視されるのがオチなのだ。」
マキャベリ　「手紙」より",,>>151,,ID:fOGlX385(4/8),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0156 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:33:35.77","早起きやのう、権田田吾作は




ID:8mwoT5GX

http://hissi.org/rea...122/OG13b1Q1R1g.html",http://hissi.org/read.php/news4plus/20251122/OG13b1Q1R1g.html,http://hissi.org/rea...122/OG13b1Q1R1g.html,,ID:L6vWtai2(2/4),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0157 化け猫 ◆BakeNekob6 2025/11/22(土) 09:33:41.80",">>132
(=^?^=)　なお
この時点でシャアの百式は片手片足もげていた
https://funakamome.com/i/EYEwvKw.jpg",https://funakamome.com/i/EYEwvKw.jpg,https://funakamome.com/i/EYEwvKw.jpg,,ID:ErC9sXIU(3/15),1,>>132,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0158 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:33:45.70",">>146
ネイバー見てきたけど、韓国民たちは「日本が羨ましい」って言ってたよ。
韓国では中国に対してデモをしたり、文句を言うと逮捕されるようになってしまったから。
自由国家だったのに、韓国はどんどん共産国家になっていってるよねｗ　そりゃ韓国民も不満でしょｗ　ざまあだけどｗ",,>>146,,ID:5UyP4mSy(17/30),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0159 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:33:47.49","バランサー？

コウモリモドキだろ",,,,ID:NUBhzP+t(9/32),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0160 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:34:06.35",腐れ外道小西洋之,,,,ID:+K07YqJM,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0161 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:34:15.07",ケンモー雑魚の戯言なんて誰も読んでないから無駄なコピペやめなw,,,,ID:yuajKHLi(8/16),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0162 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:34:40.35",">>151
キープレイヤーとやらの韓国さんは具体的にどんな外交してんの？
なんか「反中デモ禁止にするニダ！」とか「韓日中→韓中日にするニダ！」とかやってたけど
まさかあれが「中国との関係強化」なの？",,>>151,,ID:085OUbjr(1/2),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0163 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:34:42.94",">>157
ぎゃははｗｗ　思わぬ方向から来た　シャアの百式ｗｗｗ",,>>157,,ID:5UyP4mSy(18/30),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0164 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:34:51.22",">>142
いやいや
今と顔が違いすぎる
どう見ても不自然
https://i.imgur.com/oKWTHdy.jpeg
https://i.imgur.com/B9bpKmL.jpeg",https://i.imgur.com/oKWTHdy.jpeg,https://i.imgur.com/oKWTHdy.jpeg,,ID:7YT7X58+(5/5),2,>>142,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0165 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:35:20.86",">>161
ごめん、離れちまったけど、日本に自衛権はないとかって二つに分かれた長文コピペね
数日前からあらゆるスレで見るやつ",,>>161,,ID:yuajKHLi(9/16),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0166 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:35:25.25",欧米は高市支持みたいだし、外交オンチは小西の方では？,,,,ID:2MttVLap,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0167 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:35:28.59",">>164
おなじやんけ　目悪いんか",,>>164,,ID:5UyP4mSy(19/30),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0168 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:35:43.33",">>151
これまでの曖昧戦略では、
台湾有事の邦人保護の検討とかできなかったのよ。
そんなこと起こり得ないと言う立場なので。",,>>151,,ID:ddLVpCG/(1/2),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0169 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:36:30.99","＞最後のポストは21日の午後3時の投稿から12時間に5000件超のコメントが寄せられている。

どういうコメントが多かったんだ？そこも書けよな。言いっ放しの投げっ放しジャーマンかよ",,,,ID:M0E7D3x5,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0170 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:36:33.70",">>163
あの金ピカってシャアが望んだ塗装だったのかい？",,>>163,,ID:yuajKHLi(10/16),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0171 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:36:40.83",">>167
そいつな、頭が悪いんだｗ",,>>167,,ID:to0Z/mE6(3/4),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0172 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:37:11.76",">>1
中国の過剰な反応が異常だと思えないおまえのほうが日本の政治家として致命的だろ",,>>1,,ID:H5vd+S2E,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0173 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:37:49.05","IPACが薛剣氏投稿を非難、
各国に「日本支持を」表明。　
高市首相答弁は「正当」
米欧300人議員",,,,ID:0cizTxIs(4/5),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0174 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:37:51.53","このまま続ければ「あれ、高市ってやりすぎなんじゃね？」って意見が増えてくる
がんばれ",,,,ID:EzbJ1YIG,1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0175 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:38:17.20",">>171
何もかもでは？",,>>171,,ID:NUBhzP+t(10/32),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0176 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:38:24.73",最近は若者ほど保守傾向が強くなってるんだよね。若者は中韓と仲良しなんて幻想よ幻想,,,,ID:jlNUSog7(1/4),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0177 警備員[Lv.29][SR武+1][SR防+1][木] 2025/11/22(土) 09:38:39.70",ウンチのことなら我が党ニダ（ニダ言った）,,,,ID:lu+5dDv5,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0178 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:38:40.01","ID:7YT7X58+


http://hissi.org/rea...122/N1lUN1g1OCs.html",http://hissi.org/read.php/news4plus/20251122/N1lUN1g1OCs.html,http://hissi.org/rea...122/N1lUN1g1OCs.html,,ID:L6vWtai2(3/4),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0179 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:38:41.66",反発してるのは中国だけ。同調するのはどうせいつもの北朝鮮だけ,,,,ID:SvudsRXQ(1/4),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0180 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:38:54.27",">>174

やり過ぎくらいがちょうど良いよねぇ???",,>>174,,ID:8vwXJWbk(14/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0181 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:39:01.78",">>151
アホだな。ここで黙ってる事ですでに世界は「韓国は中国側だ」と認識している。
誓っていいよ。この事態が収束した時、韓国は終わってる。

出る時は出ないといけない。その時をいつも見誤るのは「損か得か」でしか動かない人間。
尊厳を守る事、人道を優先する事、そのためならば損も得もないと考える者。それこそが信用と信頼を得るのだよ。

韓国はそれができない。だからいつも韓国には味方がいない。",,>>151,,ID:5UyP4mSy(20/30),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0182 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:39:31.98",">>164
間違い探し？",,>>164,,ID:OCeQKxqf,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0183 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:39:34.05",">>122
日本の新しい指導者は台湾をめぐり中国のレッドライン（越えてはならない一線）を
越えることが何を意味するかを直接突きつけられた。

日本軍は占領中に20万人あまりの非武装民間人を殺害し、女性や少女数万人に性的暴行を加え拷問した。
南京大虐殺として知られるこの行動は、20世紀の特に悪名高い戦時残虐行為の一つとされる。
日本は繰り返し謝罪と反省を表明してきた。
しかし、その時代は今年、中国が抗日戦争勝利80周年を記念する中で前面に押し出されている。


CNNの論調はあまり日本に良いこと言ってないような…",,>>122,,ID:nZ6d09n4,2,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0184 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:39:36.32",中国大使があんまりにもアレなこと言い出したのが原因やろう。日本に落ち度なし,,,,ID:jlNUSog7(2/4),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0185 頭だけは立派な坊主河本ハゲ 2025/11/22(土) 09:39:59.58",脱糞？,,,,ID:ec+qdOou(1/6),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0186 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:40:06.87",">>179
韓国も同調してるらしい。中国ヘイトをすると逮捕だってさｗｗ",,>>179,,ID:5UyP4mSy(21/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0187 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:40:28.10",">>181
というか今経済的にもマズイんじゃなかったか？",,>>181,,ID:jlNUSog7(3/4),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0188 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:40:39.08",">>131
岡田さんの質問は、台湾で米中衝突しても日本には無関係だから、
村立危機事態ではなく集団的自衛権も使えない。
米軍を助けに行く法的根拠はないのでは、というもの。
沖縄の目と鼻の先で米軍が攻撃を受けていても見てるだけ。
これでは、政権取っても日米関係がうまくいかないでしょう。",,>>131,,ID:ddLVpCG/(2/2),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0189 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:41:03.62",">>14
岩屋と宗男で高市にダメージあるんかな？",,>>14,,ID:bmdbtBnU,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0190 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:41:10.07",">>183

前段と後段、あまり関連が無いような???
CNNにしては随分纏まり無い内容だね",,>>183,,ID:8vwXJWbk(15/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0191 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:41:11.92",">>183
所詮マスゴミだろ。

Ｇ７とＩＰＡＣが日本支持している。それ以上の支援があるか？
G7（カナダ、フランス、ドイツ、イタリア、日本、英国、米国）外相会合共同声明、台湾海峡の平和と安定を維持することの重要性を強調
https://www.roc-taiw..._ja/post/109296.html",https://www.roc-taiwan.org/jp_ja/post/109296.html,>>183,,ID:5UyP4mSy(22/30),,https://www.roc-taiw..._ja/post/109296.html,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0192 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:42:16.43",ネトウヨが図星で発狂しとるなｗ,,,,ID:a6JU75St,1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0193 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:42:51.00",">>187
かなりヤバいだろう。中国の元とスワップするほどにｗ",,>>187,,ID:5UyP4mSy(23/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0194 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:43:10.68","史上最悪の経済オンチ、も忘れるなよ


高市総理になってから10円も円安になった

物価高対策が第一と掲げているにも関わらずだ


未だに失政アベノミクスなんぞを信じている時代遅れの経済オンチそれが高市早苗",,,,ID:HA8SE7Vz,2,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0195 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:43:38.68",">>192
パヨクがアホすぎてな。ｗ　Ｇ７もＩＰＡＣも国際社会のほとんどが日本支持なのに小西アホすぎだろｗｗｗ",,>>192,,ID:5UyP4mSy(24/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0196 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:43:55.85",立憲と共産は解散した方がいいと思うんだ,,,,ID:8QnGQtD6,1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0197 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:44:11.05",常識オンチのお前が言うなよ,,,,ID:wPFAUavp(1/7),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0198 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:44:11.51","もうグローバリズムの世界じゃないのよ。
中共もそして韓国も、豊かになって法治主義の民主国家になると思いきや、独裁者が君臨して自由が無くなった。
「衣食足りて礼節を知る」とかいっとったけど、今の中共の外交官の発言見てもそれは嘘だわ。

途上国は途上国なりの民度とかそういうものがあの独裁制にしてるんであって、豊かさ関係ないし、
独裁が世界を混乱させるだけの途上国への富はかえって危険。",,,,ID:fOGlX385(5/8),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0199 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:44:15.21",">>194
トリプル安は早苗ちゃんの功績なんだが？w",,>>194,,ID:eBKOh3fy(3/4),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0200 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:44:18.34",">>194
パヨク悔しいのぅ～ｗｗｗ　もうすぐ強制送還させられるからね。今のうちに暴れておきなｗ",,>>194,,ID:5UyP4mSy(25/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0201 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:44:40.52",">>1
ホラレモンの動画に参加した時も一人トンチンカンなこと言ってボロボロだったな、コイツ",,>>1,,ID:pipwEQnG,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0202 化け猫 ◆BakeNekob6 2025/11/22(土) 09:45:30.96",">>136
(=^?^=)　日教組が教える歴史は
何故か毎年、明治から戦前で3月の時間切れになる。",,>>136,,ID:ErC9sXIU(4/15),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0203 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:46:44.32",">>198
というか国を纏めるために日本という分かりやすいアイコンが必要だったんだよなあいつら。抗日映画がいまだに人気なあたり抜け出せないんだわ",,>>198,,ID:jlNUSog7(4/4),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0204 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:47:19.37",">>196
社民は？",,>>196,,ID:NUBhzP+t(11/32),2,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0205 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:48:11.66",">>204

社民は次回で解散じゃね？",,>>204,,ID:8vwXJWbk(16/30),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0206 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:49:01.92",">>202
大丈夫大丈夫。
彼奴めら「戦争の歴史を忘れるな」言うとるから知らんとは言えないかとｗｗｗ",,>>202,,ID:fOGlX385(6/8),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0207 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:50:19.15",">>7
高
市
早
苗",,>>7,,ID:UixsohDz,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0208 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:50:42.37","「要するに」で何をどうはしょってるのかすら理解できないけど鏡見ろ
最悪クイズ王がテキトーに一国の首相を批判するのがメチャメチャ不愉快
悔しかったら首相になってみろって",,,,ID:hUocJ78+,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0209 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:50:43.83",">>1
その前に立憲民主党を支持する奴らはゴミ非国民だしね
働かないで楽させろっていうバカしかいない",,>>1,,ID:WNGrasuC(1/3),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0210 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:51:42.44",">>203
ってか抗日映画だけが唯一、当局の規制にかからない娯楽だったらしいですな。
ただ、やりすぎると徐々に反中共政府思想につながっていくのは反日暴動の時と一緒ｗｗ",,>>203,,ID:fOGlX385(7/8),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0211 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:51:45.84",自分でバカ晒すなよw,,,,ID:oq3LckYi(1/6),1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0212 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:51:57.06","千葉県民は朝鮮人しかおらんのか
こんなアゴのしゃくれたブサイク朝鮮人の小西洋之を当選させるんだから",,,,ID:+FkkLXWO,1,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0213 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:52:34.47",">>211
だって、クイズ王小西だぜ？",,>>211,,ID:NUBhzP+t(12/32),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0214 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:52:36.21",とんでもないアホがやってきた！,,,,ID:n6V2xVhC,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0215 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:52:53.80",要するに立憲民主党が政権をとったら日本は中国の犬になる,,,,ID:q922iqQR,3,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
"垢版
|
0216 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:53:00.38",人生オンチで頭が弱い気持ち悪い妖怪なだけ,,,,ID:eFemh9/O,,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0217 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:53:14.43","門田隆将【解散総選挙?議席予測】
高市自民党「45増」単独過半数／立憲民主党「43減」惨敗",,,,ID:0cizTxIs(5/5),,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,
"垢版
|
0218 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 09:53:55.37",">>33
米軍の基地があるのに中国が戦争吹っ掛けるか",,>>33,,ID:8Fz271rZ,2,,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#,https://itest.5ch.net/lavender/test/read.cgi/news4plus/1763767873#
