threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0792 名無しどんぶらこ 2025/11/28(金) 04:42:13.80","「そんなこと」で片付く軽い内容ならさっさと公表すればいいだけでは？
なにもやましい事なんて無いんでしょ",,,,ID:S4O952At0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0793 名無しどんぶらこ 2025/11/28(金) 04:42:13.89",">>757
岸田と争った総裁選の後、安部チョンが高市を怒っていたもんな。　応援してくれた人に挨拶もしないのかって
安部チョンが生きていたら礼儀知らずの高市は自民党から追放されていたかもな",,>>757,,ID:yOGJvx0W0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0794 名無しどんぶらこ 2025/11/28(金) 04:42:24.38","予算委員会だから予算委員会について話しよって
立憲にいってんだろ
ほんと立憲ってろくでもねぇーな
トラップ仕掛ける事に一生懸命で中身なし",,,,ID:IYOJ0Rmd0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0795 名無しどんぶらこ 2025/11/28(金) 04:42:41.60",">>685
正論だわ",,>>685,,ID:2vZFjQJC0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0796 名無しどんぶらこ 2025/11/28(金) 04:42:47.49",「知らんけど」も語尾につけて〜。知らんけど。,,,,ID:6PQiq4fo0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0797 名無しどんぶらこ 2025/11/28(金) 04:43:05.51","正直これまで無能だと思ってた元総理や野党議員がまともに見えてくるレベルで高市ヤバいと思うんだけど
議員にもなっちゃいけないレベルだろこれ
尻拭いしてる周りの政治家や官僚ももうお手上げでしょ",,,,ID:LLGcjW0O0(1/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0798 名無しどんぶらこ 2025/11/28(金) 04:44:21.99",">>684
森羅万象司る総理として恥ずかしい行為だよ",,>>684,,ID:oRzB/F+30(4/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0799 名無しどんぶらこ 2025/11/28(金) 04:44:35.43","「政治改革への姿勢に疑問」公明・斉藤氏、首相の「そんなことより」発言を批判

@産経新聞",,,,ID:gs01e9Ef0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0800 名無しどんぶらこ 2025/11/28(金) 04:44:58.94","中国が国賓に呼ばれるなんて許せない！米中関係をぶち壊すわよ！
こういう事らしいな",,,,ID:WggvmCV60(4/6),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0801 名無しどんぶらこ 2025/11/28(金) 04:45:10.26",">>773
せっかく柔らかく言い換えてメンツを立ててくれたのにな
デマ記事呼ばわりされたらWSJも腹立てるだろ
何で他人の善意に悪意で答えちゃうかね
発想の根本が「テイカー」だからかな",,>>773,,ID:LOUSq2eV0(1/3),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
