threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0001 ぐれ ★ 2025/11/27(木) 21:38:07.00","※11/27(木) 18:46
テレ朝NEWS

　党首討論の政治改革を巡るやり取りで高市総理大臣が「そんなことよりも定数削減やりましょう」と発言したことについて、木原官房長官は「急いで話題転換する趣旨だ」と釈明しました。

　26日に行われた党首討論で、立憲民主党の野田代表は最後に「政治とカネ」の問題に決着をつけるべきだとして、このように問いただしました。

立憲民主党　野田代表
「企業・団体献金の受け取り先として、政党支部がなっている、それがどうなっているかの実態把握どうなっていますか。それを石破前総理は約束をされて、公党でありますので引き継ぎされていると思いますが」

高市総理大臣
「支部の数、そして実情調査は行っておりますけれども、それを御党にお示しするという約束であるとは思っておりません。そんなことよりもぜひ、野田総理、定数の削減やりましょうよ。これは私の心残りでございます」

　野田代表は党首討論の後、「全く理解できなかった。『そんなこと』ではなく、政治改革のセンターピンは政治資金規正法だ」と批判していました。

木原官房長官
「高市総理は党首討論のもう残り時間がなくなる直前であったなかで、急いで話題を転換する趣旨でそのような表現を用いたものと受け止めております」

続きは↓
「そんなことよりも」発言を釈明　木原官房長官「急いで話題転換する趣旨」 https://topics.smt.d...vasahinews-000469275",https://topics.smt.docomo.ne.jp/article/tvasahinews/politics/tvasahinews-000469275,https://topics.smt.d...vasahinews-000469275,24,ID:qn/R9MGv9,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/27(木) 21:39:34.22",野球しようぜ,,,,ID:GdUkrWkV0,2,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/27(木) 21:39:34.57",ああ言った！こう言った！,,,,ID:dNFC8gCh0,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/27(木) 21:40:10.07","そんなことよりも　だよ

ホント",,,,ID:aFv8ioTl0,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/27(木) 21:40:15.12",そんなことよりもナイジェリアスレはよ,,,,ID:Kywa+BnC0,1,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/27(木) 21:40:18.01",高市がなんか喋る度にフォローしないといけないのか,,,,ID:2FyX5fMj0,1,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/27(木) 21:40:19.75",ところで俺のキンタマを見てくれ,,,5,ID:Lm+KFXNJ0(1/3),,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/27(木) 21:40:54.80",ほんと野党には「そんなことよりも」だな,,,,ID:LGrEvRfE0,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/27(木) 21:41:00.89",そんなことウイグルガー,,,,ID:CiF98pHF0,,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/27(木) 21:41:03.33",余計なことしなくていいから消費税廃止してよ,,,,ID:msRhvDfD0,1,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/27(木) 21:41:17.65",意味のない釈明だよ,,,,ID:x0gC9T8q0,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/27(木) 21:41:28.14",取りあえず高市は喋らん方が良いw,,,,ID:oZveqEII0(1/3),1,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/27(木) 21:41:34.87",そんなことよりも立件崩壊しろ,,,,ID:cdEuHusW0,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/27(木) 21:41:46.19",">>10
そんなことよりも金融商品課税",,>>10,,ID:XIu6N4OE0,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/27(木) 21:41:55.83",政治資金規制法も定数削減も両方やれ,,,,ID:M7fGJrx10,1,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/27(木) 21:42:35.90",流行語大賞タイミング遅かったな,,,,ID:ZTiIiHAc0,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/27(木) 21:42:36.08",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,ID:JoelE1kd0,,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/27(木) 21:43:09.83","これはイメージ悪い
政治献金問題より議員削減のほうが重要だろうって言ってるようなもの",,,,ID:WmfIZr8/0,2,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/27(木) 21:43:11.54",まさに舌禍,,,,ID:xkVs2HOP0,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/27(木) 21:43:11.58",">>5

これか？

https://kizuna.5ch.n...i/wcomic/1761345424/",https://kizuna.5ch.net/test/read.cgi/wcomic/1761345424/,https://kizuna.5ch.n...i/wcomic/1761345424/,,ID:oZveqEII0(2/3),,>>5,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/27(木) 21:43:16.87","急いで話題を転換する＝話をそらしたい
高市政権は言い訳までアホなのか",,,,ID:ZHt0Agcu0(1/3),3,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/27(木) 21:43:32.57",">>1
立憲民主党も調査委託費という、受け取った側の政治資金収支報告書に記載されないお金を支出しているんだよね。

立憲民主党の調査委託費は、定期的に定額をまるで給料のように支出していて、

委託するお金じゃなくなっているんだよね。

そもそも党員に「調査を委託する」って考え方がおかしいよ。

自民党のキックバック問題が政治資金規正法違反なら、立憲民主党の調査委託費も政治資金規正法違反だよ。

「支持率下げてやる」ために、ただの事務手続き上の失敗をあげつらうよりも、国民の生活を向上することのために議論すべきだよ。",,>>1,,ID:J/gJ9Ml80,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/27(木) 21:43:45.74","確かに言い方悪いけど
鬼の首取ったように批判することでもないだろ
だから議論が進まない",,,,ID:fIBDJUxM0,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/27(木) 21:43:51.76",そんなことってぞんざいに取られかねない言い方をわざわざしたのは稚拙,,,,ID:mNQaO1lS0,,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/27(木) 21:44:15.99",木原さんは大変やなぁw,,,,ID:JzS9ThB70(1/5),,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/27(木) 21:44:23.37","立憲の馬鹿どもは本当にろくなのおらんな
全滅しろ",,,,ID:T5zkDYDI0,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/27(木) 21:44:27.95",裏金より自党に有利な選挙制度変更か,,,,ID:GO8norhq0,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/27(木) 21:44:29.73",木原も池沼なの？ｗｗｗｗ,,,,ID:mBsD0MOl0,,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/27(木) 21:44:55.18","森喜朗以来の天然の失言製造機だな
現代版の神の国発言みたいなので、この内閣は爆散すると思うわ",,,,ID:HzE3e9m+0,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/27(木) 21:44:59.46",">>1
高市を必死になって罵倒して攻撃してるのは
下等遺伝子奴隷民族朝鮮人の
中国共産党工作員五毛ドモw🤣",,>>1,,ID:rCgfHCXt0(1/3),,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/27(木) 21:45:09.83",そんな(どうでもいい)ことより,,,,ID:2IIeggTI0,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/27(木) 21:45:14.95","立憲脱糞党野ブタは、
自党のバカ子分が原因で、
中国共産党が満天下に恥を晒すハメになったから、
慌てて火消しに出てきたw🤣
野ブタを中国共産党はまた激怒して見ている
野ブタは、
東京都が尖閣諸島を民間から買い上げて都の財産にしようとしたのを
横から強引に買い上げて国有地にしたことで、
中国共産党を激怒させて日本排斥の大騒動を引き起こした張本人
安倍晋三に政権を奪われてから、
ようやく中国共産党の怒りが収まった
中国共産党は東京都が民間から買い上げるのには
過剰な反応をせずに抑制してスルーするところだったのに、
下手に野ブタがしゃしゃり出てきて中国共産党の激怒を買ったw🤣🤣🤣",,,,ID:rCgfHCXt0(2/3),,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/27(木) 21:45:20.27","サナは誠実だから
思ってることがつい口に出ちゃうの",,,,ID:uHfE2qIR0,1,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/27(木) 21:45:56.53","外交ベタのつい言い過ぎた高市サナ
トランプに激怒され台湾外交部からも信用されず
東洋のゼレンスキーと化し国益を損ねた模様

そんなことよりも内閣官房畑で鍛えられた男
安　倍　晋　三
https://news.ntv.co....90204_223851755u.jpg",https://news.ntv.co.jp/gimage/n24/articles/b501e11ef6724196b3bc503484e27781/20190204_223851755u.jpg,https://news.ntv.co....90204_223851755u.jpg,,ID:+JtbF5Y90,1,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/27(木) 21:46:21.58","釈明とかいらねー
そんなことよりも円安進行をなんとかしろ
これも喫緊の課題だぞ？",,,,ID:wzIRKrA50(1/3),,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/27(木) 21:46:21.48",発言軽いなあ,,,,ID:KjyJAHl80(1/2),,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/27(木) 21:46:36.63",サナエオワタ,,,,ID:uuQS4c9j0,,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/27(木) 21:46:51.06",高市の介護大変そう,,,,ID:F9tXm3tt0,,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/27(木) 21:46:54.57","この手の話になると、
一斉に似たような内容で中国共産党擁護、日本政府攻撃のレスが増えて、
ソレが簡単に論破されると、
しばらくそういうヤツラの反応が止まって、
またしばらくして別のネタで中国共産党擁護、日本政府攻撃のレスがワッと増えるよなw🤣
裏でどんな話をしてんのか、どこから命令が来てんのか、
まるでバレバレなんだけどw🤣🤣🤣",,,,ID:rCgfHCXt0(3/3),,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/27(木) 21:47:06.28","党首討論、野党がイニシアチブを取るのに与党が話題を変える？
馬鹿なのかな？
木原、言い訳ばかりでもうHPはゼロだろ",,,,ID:Ab2TkTZC0,,,,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/27(木) 21:47:06.81","「そんなことよりも」発言を引き出した立憲野田はなぜ国民に謝罪しないのか？
なぜこのタイミングで企業団体献金などという失言を狙ったかのような不適切な質問をしたのか？",,,,ID:GrOofc8d0,,,,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/27(木) 21:47:17.67",そんなことより立憲の議席を50くらいまで減らそう,,,,ID:BBl5nv2z0,,,,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/27(木) 21:47:48.66",そんなことよりもテレ朝が不要,,,,ID:wPxZIn/b0,,,,,,
"垢版
|
0044 名無しどんぶらこ 2025/11/27(木) 21:48:12.07",">>1
寝ないとアルツハイマー型認知症のリスクが上がるでw",,>>1,,ID:oZveqEII0(3/3),,,,,,
"垢版
|
0045 名無しどんぶらこ 2025/11/27(木) 21:48:48.17",高市がアホなら側近もアホなの？,,,,ID:vkF+O8Oc0,1,,,,,
"垢版
|
0046 名無しどんぶらこ 2025/11/27(木) 21:49:07.58",大政翼賛会的な高市全擁護モードから高市叩きモードに移行か,,,,ID:CFGJ9anB0,1,,,,,
"垢版
|
0047 名無しどんぶらこ 2025/11/27(木) 21:49:08.21",官房長官＝早苗の尻拭き係,,,,ID:Os+nZhfi0,,,,,,
"垢版
|
0048 名無しどんぶらこ 2025/11/27(木) 21:49:17.77","【台湾有事】トランプ氏　電話会談で高市総理に発言抑制を要求か　米メディア報道… ★11 [BFU★]
https://asahi.5ch.ne...newsplus/1764246882/",https://asahi.5ch.net/test/read.cgi/newsplus/1764246882/,https://asahi.5ch.ne...newsplus/1764246882/,,ID:PzhWL9Ot0(1/2),,,,,,
"垢版
|
0049 名無しどんぶらこ 2025/11/27(木) 21:49:25.82","みんなして高市の尻拭いしてんの草
要介護内閣で草",,,,ID:6tus3Khb0(1/16),,,,,,
"垢版
|
0050 名無しどんぶらこ 2025/11/27(木) 21:49:54.16",">>45
類友",,>>45,,ID:6tus3Khb0(2/16),,,,,,
"垢版
|
0051 名無しどんぶらこ 2025/11/27(木) 21:50:35.28",きはらさーんwwwwさなじろーwwwwwww,,,,ID:6tus3Khb0(3/16),,,,,,
"垢版
|
0052 名無しどんぶらこ 2025/11/27(木) 21:50:36.85","人に尻拭いばかりさせて何がしたいの？
進次郎に替えろよ面倒くせえ",,,,ID:Ij11VZ5j0,,,,,,
"垢版
|
0053 名無しどんぶらこ 2025/11/27(木) 21:51:12.87","高市って何一つまともにグローバルのレベルにないね
カルト内で粋がって戦闘態勢なだけ",,,,ID:r9Bnf6Ju0,1,,,,,
"垢版
|
0054 名無しどんぶらこ 2025/11/27(木) 21:51:23.75",苦しいな,,,,ID:MKuoiaoD0,,,,,,
"垢版
|
0055 名無しどんぶらこ 2025/11/27(木) 21:51:30.22",サナエちゃんは言葉が苦手なので介護が必要なんです…,,,,ID:qYr74jzA0,,,,,,
"垢版
|
0056 名無しどんぶらこ 2025/11/27(木) 21:51:31.02",都合悪い話から逃げたかったと,,,,ID:+AtayQWr0,,,,,,
"垢版
|
0057 名無しどんぶらこ 2025/11/27(木) 21:51:32.80","せいぜい頑張ってくださいね
の福田と同じ",,,,ID:OS4CDvPA0,,,,,,
"垢版
|
0058 名無しどんぶらこ 2025/11/27(木) 21:51:43.02",急いで話題転換したいのは都合が悪いからだよね,,,,ID:N5n9sJw60(1/2),,,,,,
"垢版
|
0059 名無しどんぶらこ 2025/11/27(木) 21:51:51.96",">>33
早苗可愛すぎｗ
また支持率上がりそうｗ",,>>33,,ID:9/FynPo20,,,,,,
"垢版
|
0060 名無しどんぶらこ 2025/11/27(木) 21:51:55.91",小選挙区の定数を減らせよ。比例は減らすな。,,,,ID:yRprr1lm0,,,,,,
"垢版
|
0061 名無しどんぶらこ 2025/11/27(木) 21:52:20.00",高市さんはもうあまり喋らない方が…ｗ,,,,ID:iTBQqh6c0,,,,,,
"垢版
|
0062 名無しどんぶらこ 2025/11/27(木) 21:53:22.17","""スクープ解説！対中問題でトランプ大統領が高市早苗の味方をしない衝撃の理由とは。元朝日新聞・記者佐藤章さんと一月万冊""
https:
//youtu.be/AZGyPMze_SM",,,,ID:PzhWL9Ot0(2/2),,,,,,
"垢版
|
0063 名無しどんぶらこ 2025/11/27(木) 21:53:28.34",日本語くらいちゃんと使ってくれよ,,,,ID:3wx5gWwj0,,,,,,
"垢版
|
0064 名無しどんぶらこ 2025/11/27(木) 21:53:47.74","高市「企業・団体献金規制なんかどうでもいいから野党は協力して！」
　
また国会でやらかした高市
　
バカすぎだろコイツ
単細胞すぎ

世の中には考えながら話せる脳が発達したやつとそうじゃない奴がいる

高市は後者
国会答弁で丸わかり",,,,ID:MuhKIG000,,,,,,
"垢版
|
0065 名無しどんぶらこ 2025/11/27(木) 21:54:02.45","軽量級神輿のスンズローのがまだマシとか
天下の自民党「も」人材難なんだねぇ┐(´д｀)┌ﾔﾚﾔﾚ
つーか自分で理論を構築して語れる政治家が少なくなってきたなような？",,,,ID:wzIRKrA50(2/3),,,,,,
"垢版
|
0066 名無しどんぶらこ 2025/11/27(木) 21:54:05.46",高市総理大臣は、ものすごく頭が悪い,,,,ID:8WH47ycO0,,,,,,
"垢版
|
0067 名無しどんぶらこ 2025/11/27(木) 21:54:40.38",ムキになるバカ市のせいで大変やなｗ,,,,ID:fWG4pGtv0,,,,,,
"垢版
|
0068 名無しどんぶらこ 2025/11/27(木) 21:54:51.74",官房長官　そのうち鬱病になりそう　ｗｗｗ,,,,ID:hqnmkEzF0(1/4),,,,,,
"垢版
|
0069 名無しどんぶらこ 2025/11/27(木) 21:55:17.70","そんなことより
参政党神谷も言ってて笑った",,,,ID:zBnJx2wk0,,,,,,
"垢版
|
0070 名無しどんぶらこ 2025/11/27(木) 21:55:29.52",器じゃねえのよ,,,,ID:NRHNnage0,,,,,,
"垢版
|
0071 名無しどんぶらこ 2025/11/27(木) 21:55:31.63","口は災いのもとというけどこれからどんどん失言増えていきそうだよな高市

政治資金問題は経済や安保よりは優先度低いけど議員定数削減よりは遥かに高いと思うんだけどね…",,,,ID:FXzpCAok0(1/10),,,,,,
"垢版
|
0072 名無しどんぶらこ 2025/11/27(木) 21:55:41.91","マトモな社会人は、話題転換で「そんな事より」なんて非礼なことは言いません
それに、なぜ話題を転換しなければならんのは、都合の悪い話題だったからですよね",,,,ID:E7vwvnEp0(1/2),,,,,,
"垢版
|
0073 名無しどんぶらこ 2025/11/27(木) 21:55:42.96",失言をしまくる神輿の方が工作費がジャラジャラ出てありがたいんだろうな,,,,ID:yfOuUbq30,,,,,,
"垢版
|
0074 名無しどんぶらこ 2025/11/27(木) 21:55:43.58","そんな木原より高市に喋らせよう
国難を招くかもしれない、
それはあると思うが、
高市支持者もどういうことか勝ったことだしおかわり欲しいだろ？",,,,ID:mmz7ZqVM0,,,,,,
"垢版
|
0075 名無しどんぶらこ 2025/11/27(木) 21:55:47.42","そんなことよりって
自分の悪さを追及されてる奴が
よく使う台詞だよな
高市やっぱりヤンキー気質なんじゃないか",,,,ID:sTgqU2MM0(1/2),,,,,,
"垢版
|
0076 名無しどんぶらこ 2025/11/27(木) 21:55:53.84",顕示欲だけの無能を総理にするとこうなりますの典型,,,,ID:VpXfQVnP0,,,,,,
"垢版
|
0077 名無しどんぶらこ 2025/11/27(木) 21:56:06.33","野田が悪い
立憲民主党は喋るなよ",,,,ID:jMSmqOYi0,,,,,,
"垢版
|
0078 名無しどんぶらこ 2025/11/27(木) 21:56:15.89",">>53
オタサーの姫、ヲタにちやほやされてる地下アイドルみたいなもんやからな
勘違いして総理まで上り詰めたのはある意味すごいと思うわw",,>>53,,ID:6tus3Khb0(4/16),,,,,,
"垢版
|
0079 名無しどんぶらこ 2025/11/27(木) 21:56:49.30",日本国民としても「そんなことよりも」だわ,,,,ID:AucAYSob0,,,,,,
"垢版
|
0080 元民主支持 2025/11/27(木) 21:56:54.67","高市下手くそだなあ
支持者の頭の悪さ反映してそう

企業献金に頼らないで民主みたいに選挙勝つ自信がねえのかな
自維国参で選挙協力すらさっさとできんのか",,,,ID:mBWg3j7M0,,,,,,
"垢版
|
0081 名無しどんぶらこ 2025/11/27(木) 21:57:07.55",野ブタ言われてやんのw,,,,ID:Mvnr9VHi0(1/2),,,,,,
"垢版
|
0082 名無しどんぶらこ 2025/11/27(木) 21:57:11.37","そもそも議員定数削減は重要なことではないでしょ
政治とカネの問題の方が重要だわ",,,,ID:FXzpCAok0(2/10),,,,,,
"垢版
|
0083 名無しどんぶらこ 2025/11/27(木) 21:57:17.68",ネトウヨ首相w,,,,ID:ilwLED9i0(1/7),,,,,,
"垢版
|
0084 名無しどんぶらこ 2025/11/27(木) 21:57:21.49","同じヤンキー気質の
維新と高市は合うのかもな",,,,ID:sTgqU2MM0(2/2),,,,,,
"垢版
|
0085 名無しどんぶらこ 2025/11/27(木) 21:57:26.30",上級の会話の仕方の教育とか総理になるまえにしといてよ,,,,ID:XPsN6JfU0(1/10),,,,,,
"垢版
|
0086 名無しどんぶらこ 2025/11/27(木) 21:57:31.94","高市は言葉が軽すぎる
参政党の神谷レベル",,,,ID:dHYLhERv0,,,,,,
"垢版
|
0087 名無しどんぶらこ 2025/11/27(木) 21:57:41.61",ようこそFACT,,,,ID:XPsN6JfU0(2/10),,,,,,
"垢版
|
0088 名無しどんぶらこ 2025/11/27(木) 21:58:14.48","政治とカネの問題を“そんなこと”って言っちゃったんだから

完全にAUTOやろ",,,,ID:GAXJtUP50,4,,,,,
"垢版
|
0089 名無しどんぶらこ 2025/11/27(木) 21:58:38.73",誰かチョン市に日本語の基礎から教えてやれよ,,,,ID:gNBw6fVW0(1/2),,,,,,
"垢版
|
0090 名無しどんぶらこ 2025/11/27(木) 21:58:42.35",所詮は神戸大学のタレント上がりだから頭脳戦は不利だぜ,,,,ID:Uj4/B/Zb0,,,,,,
"垢版
|
0091 名無しどんぶらこ 2025/11/27(木) 21:58:43.36",僕が僕らしくあるためにw,,,,ID:Mvnr9VHi0(2/2),,,,,,
"垢版
|
0092 名無しどんぶらこ 2025/11/27(木) 21:58:59.63","企業団体献金って合法にしてるだけで国民からしたら単なる賄賂だからな
国が腐る
腐った結果国が傾いた",,,,ID:VDBLCt8g0,,,,,,
"垢版
|
0093 名無しどんぶらこ 2025/11/27(木) 21:59:10.64",高市ご悪い。が、テレ朝は重箱の隅より報道する事はないのかよ…,,,,ID:qcE7sUSB0,,,,,,
"垢版
|
0094 名無しどんぶらこ 2025/11/27(木) 21:59:13.77",">>88
代わりに出すのが消費税とかならともかくよりにもよって議員定数削減という…",,>>88,,ID:FXzpCAok0(3/10),,,,,,
"垢版
|
0095 名無しどんぶらこ 2025/11/27(木) 21:59:44.22","こんな人たちに　by安倍晋三
そんなことより　by高市早苗",,,,ID:BnwGAZg60,,,,,,
"垢版
|
0096 名無しどんぶらこ 2025/11/27(木) 22:00:04.74","ネトウヨも不都合を誤魔化すために昔から使ってたから
壺か日本会議で誰か言ってるんやろなあ",,,,ID:ilwLED9i0(2/7),,,,,,
"垢版
|
0097 名無しどんぶらこ 2025/11/27(木) 22:00:18.00","莫大な税金が使われてるのに日本人のために仕事しない左派の政治家とかみてたらこの程度で抑えてもらってるだけ感謝しないといけないレベル
かたや日本人の命を守るために暮らしを良くするために寝る間も惜しんで高市政権は政策を作り続けてるのにね

他人事みたいにしてるが左派野党が反日国家の中国や北朝鮮が得するようなの質疑ばかりしつこくした結果がこれだろーが
左派議員は経済音痴の上にこの手のトラブルも引き起こすから次の選挙で落とさないダメね

台湾有事は日本有事ってのはまさにこう言うこと
中国国営メディア「沖縄は日本ではない」
https://s.japanese.j....com/jarticle/341130
「沖縄独立」煽る偽投稿拡散　背後に約200の中国工作アカウント　
https://www.nikkei.c...12030S4A900C2000000/

中国は台湾と同時に日本にも戦争仕掛けるつもりだから台湾への戦争を思いとどまらせるようにしてるのよね
日本で暴力革命目指してるような左派が日本に戦力を持つなと主張してるのは日本が戦争に巻き込まれやすい環境を作ってる感じやね
早くスパイ防止法通さないとね

また暗殺しようってか
高市さんの警護を最低でも20年はトップクラスで高めないとな
中国が安倍総理を暗殺した時と同じフレーズを使ってる時点で高市総理の暗殺を進めてるとしか思えない

中国の駐大阪総領事、高市首相に「その汚い首は一瞬の躊躇もなく斬ってやる」　

中国外務省報道官「血まみれになるだろう」…高市総理の“存立危機事態”の答弁めぐり日中が応酬　茂木外務大臣は「発言撤回の必要なし」【news23】
://newsdig.tbs.co.jp/articles/-/2290606

高市さんは命懸けで日本を守るために言ってることを忘れないでほしい
>>1
安倍氏、中国の抗議「大変光栄」 台湾巡る発言で

安倍氏は1日、台湾の民間シンクタンク主催のシンポジウムにオンラインで出席した。「台湾有事は日米同盟の有事だ」と指摘し「中国の軍事的冒険は経済的自殺の道だ」と講演した。

中国外務省の汪文斌副報道局長は同日の記者会見で、「台湾は中国の神聖な領土だ。中国人民の限界線に挑戦すれば、必ず頭を割られて血を流すだろう」と発言した。

この8ヶ月後に暗殺起きてるんよね…",https://s.japanese.joins.com/jarticle/341130,https://s.japanese.j....com/jarticle/341130,,ID:EjUso81V0,,https://www.nikkei.c...12030S4A900C2000000/,https://www.nikkei.com/telling/DGXZTS00012030S4A900C2000000/,>>1,,
"垢版
|
0098 名無しどんぶらこ 2025/11/27(木) 22:00:21.43",ネトウヨの知能の低さが具現化した存在,,,,ID:AQWfCTaa0,,,,,,
"垢版
|
0099 名無しどんぶらこ 2025/11/27(木) 22:00:26.42",外交音痴　経済音痴　似非保守政権,,,,ID:gtwAdl4k0,,,,,,
"垢版
|
0100 名無しどんぶらこ 2025/11/27(木) 22:00:28.30",実際どうでもいいしな,,,,ID:VyLyM3ZL0(1/2),,,,,,
"垢版
|
0101 名無しどんぶらこ 2025/11/27(木) 22:00:48.02",">>88
支持者に寄り添った発言やん
他の政治家と違って支持者のことよくわかっとる",,>>88,,ID:S6o09WOQ0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0102 名無しどんぶらこ 2025/11/27(木) 22:00:57.05",てか、なんで支持率下がらないの,,,7,ID:N5n9sJw60(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0103 名無しどんぶらこ 2025/11/27(木) 22:01:18.28","そんなことより

トランプ大統領、日中対立「沈静化の必要性」に言及。高市氏との電話協議で。複数の日本政府関係者 [256556981]
https://hayabusa9.5c...cgi/news/1764243886/",https://hayabusa9.5ch.net/test/read.cgi/news/1764243886/,https://hayabusa9.5c...cgi/news/1764243886/,,ID:W0BadeeK0(1/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0104 名無しどんぶらこ 2025/11/27(木) 22:01:20.31",ちょっと噛みつき過ぎという気がする,,,,ID:XPsN6JfU0(3/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0105 名無しどんぶらこ 2025/11/27(木) 22:01:29.48",女の尻拭いとかいう最も恥ずかしい仕事,,,,ID:mjQXJTMp0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0106 名無しどんぶらこ 2025/11/27(木) 22:01:33.18",党首討論の映像で「そんなことより」って言った時耳を疑ったよ,,,,ID:hngEnZqK0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0107 名無しどんぶらこ 2025/11/27(木) 22:01:35.46",流行語大賞確定,,,,ID:W0BadeeK0(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0108 名無しどんぶらこ 2025/11/27(木) 22:01:41.24",">>102
まぁこれからじゃないの？
さらに失言増えていくだろうしさ",,>>102,,ID:FXzpCAok0(4/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0109 名無しどんぶらこ 2025/11/27(木) 22:01:44.48",実際世の中が自分主導でないからな,,,,ID:XPsN6JfU0(4/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0110 名無しどんぶらこ 2025/11/27(木) 22:01:56.67",">>1
台湾有事も中国との貿易もどうでもいいだろ",,>>1,,ID:VyLyM3ZL0(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0111 名無しどんぶらこ 2025/11/27(木) 22:02:04.88",そんなことよりが許されるのは野球しようぜだけ,,,,ID:ZHt0Agcu0(2/3),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0112 名無しどんぶらこ 2025/11/27(木) 22:02:17.57",">>102
そんなことよりも信じているから～♪",,>>102,,ID:wzIRKrA50(3/3),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0113 名無しどんぶらこ 2025/11/27(木) 22:02:33.99",連立相手の維新も企業団体献金改革取り下げたし与党の空気感としてはやる気無しなんでしょ,,,,ID:FXzpCAok0(5/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0114 名無しどんぶらこ 2025/11/27(木) 22:02:34.83",野田も松下政経塾同窓生チョン市には呆れを通り越して憐れみ感じてんだろ,,,,ID:gNBw6fVW0(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0115 名無しどんぶらこ 2025/11/27(木) 22:02:48.49",">>102
馬鹿が多いから",,>>102,,ID:hqnmkEzF0(2/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
