threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),threadview_response_body_embedlink href,threadview_response_body_thumbnail src
"垢版
|
0026 名無しどんぶらこ 2025/11/23(日) 15:58:50.10",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,ID:2yZtrUmh0,,,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/23(日) 15:58:50.59",石破の全裸ハニトラ写真なんて見たくないんだけど,,,ID:ypOUV2vl0,,,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/23(日) 15:59:00.10",実質クビになった石破はもう消えてくれよ,,,ID:VWPto7150,,,,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/23(日) 15:59:01.38",お前誰だよ,,,ID:hrLI81DM0,,,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/23(日) 15:59:03.14",中国に下半身握られてるやつがなにいってんだか,,,ID:TJIkZUfs0,,,,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/23(日) 15:59:07.83",">>15
イタリアとガンガン親交を深めていただきたい",,>>15,ID:rz8+0tzi0(2/2),,,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/23(日) 15:59:23.98","こいつほんとに石破茂だなｗ
後ろから撃つことしかしねえな",,,ID:EQA4xX7m0(1/3),2,,,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/23(日) 15:59:29.51",今のところ高市は俺は間違ってない！俺は悪くない！しか言ってないけどどうすんだろうな,,,ID:ujGw/WNu0,,,,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/23(日) 15:59:39.33",イシバ,,,ID:r57llN+j0,,,,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/23(日) 15:59:53.70",黙っておむすび食ってろよ(´・ω・｀),,,ID:kbI96dmH0,,,,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/23(日) 15:59:59.37",ゲルはラーメン食べてりゃいいよ,,,ID:LI9Kuats0,1,,,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/23(日) 16:00:06.20",それはそう,,,ID:0WKWFc/x0,,,,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/23(日) 16:00:27.70",もはや全く触れられない人,,,ID:AOjmigR60(1/3),,,,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/23(日) 16:00:28.58",総理辞めたら生き生きしだしてマジでゴミ過ぎる,,,ID:SWRpSBzC0,1,,,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/23(日) 16:00:28.98",椅子ふんぞり返ってスマホポチポチやってりゃ波風も立たんわな,,,ID:NvwfQKv60,,,,,,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/23(日) 16:00:39.42",">>1
お前はとっとと手勢引き連れて自民割って潰せよ",,>>1,ID:1XXxELGe0,1,,,,,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/23(日) 16:00:49.93",イキって得すること何もない,,,ID:05C/jiFa0,,,,,,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/23(日) 16:01:10.67",石橋を叩いては先送りし続けて何も進まなかった石破が言うと説得力あるな！,,,ID:ycbK1xKT0,,,,,,,,
"垢版
|
0044 名無しどんぶらこ 2025/11/23(日) 16:01:20.41",">>32
首相になったとき「マジかよ、バカなんじゃねえのか自民党」って自分で思ってそう",,>>32,ID:oMESE4io0(1/2),,,,,,,,
"垢版
|
0045 名無しどんぶらこ 2025/11/23(日) 16:01:28.64","石破さんは、お供の森山、岩屋連れて
立憲共産公明党にでも移った方が
考え合うんじゃないか",,,ID:46uGXPZE0,1,,,,,,,
"垢版
|
0046 名無しどんぶらこ 2025/11/23(日) 16:01:33.73","石破がお墨付き出したぞw
高市発言は正しい",,,ID:gYxrB3Oi0,,,,,,,,
"垢版
|
0047 名無しどんぶらこ 2025/11/23(日) 16:01:39.38",だまれ役立たず,,,ID:UuifKdET0,,,,,,,,
"垢版
|
0048 名無しどんぶらこ 2025/11/23(日) 16:01:47.69",もう発言冒頭から「戦艦が～」って目も当てられないよな,,,ID:zjT7eMO00(1/2),,,,,,,,
"垢版
|
0049 名無しどんぶらこ 2025/11/23(日) 16:01:54.67",中国には神経を使ったけど日本人には全くの無神経だった石破ちゃんが言うと説得力が段違い,,,ID:IrLgTCbT0,,,,,,,,
"垢版
|
0050 名無しどんぶらこ 2025/11/23(日) 16:01:55.73",">>39
そういうとこなんだよ
総理の立場だと言えない事もあるっての",,>>39,ID:MWwgzBdZ0,2,,,,,,,
"垢版
|
0051 名無しどんぶらこ 2025/11/23(日) 16:02:13.08",ゴミがまた文句だけいってる,,,ID:iASpatmJ0,,,,,,,,
"垢版
|
0052 名無しどんぶらこ 2025/11/23(日) 16:02:22.52",こんなに後ろから矢打つ前総理過去にいないよな,,,ID:jvqEUbwF0,,,,,,,,
"垢版
|
0053 名無しどんぶらこ 2025/11/23(日) 16:02:24.84","ハニトラリスト公開されたら困る人かな？w

安心しろ、中国はもうヘタれた。

【速報】 中国国営新聞社 「日本はすでに代価を支払った」 中国SNSで1位に 高市総理の発言めぐり ★2 [お断り★]
https://asahi.5ch.ne...newsplus/1763875137/",https://asahi.5ch.net/test/read.cgi/newsplus/1763875137/,https://asahi.5ch.ne...newsplus/1763875137/,ID:f7Hfjq/k0,,,,,,,,
"垢版
|
0054 名無しどんぶらこ 2025/11/23(日) 16:02:34.51",">>45
一番仲がいいのは鉄ヲタ仲間の野田さんやろ",,>>45,ID:AOjmigR60(2/3),,,,,,,,
"垢版
|
0055 名無しどんぶらこ 2025/11/23(日) 16:02:43.58","80兆カツアゲされたクズにだけは言われたくねぇだろ
ほんまこの豚山上されねぇかな",,,ID:pPWxfv8y0,1,,,,,,,
"垢版
|
0056 名無しどんぶらこ 2025/11/23(日) 16:02:49.11",石破の２万円がお米券に(’A`;),,,ID:44zWe1o+0,,,,,,,,
"垢版
|
0057 名無しどんぶらこ 2025/11/23(日) 16:03:02.41",何の戦略も無しにアホ市さんがイキリ発言,,,ID:I6m71zJP0,,,,,,,,
"垢版
|
0058 名無しどんぶらこ 2025/11/23(日) 16:03:05.28","安倍は死んでも政治家として名前は度々出てくる。ある意味生きている。
一方石破は政治家としてはもう死んでいる。",,,ID:cw77AWf40(1/2),,,,,,,,
"垢版
|
0059 名無しどんぶらこ 2025/11/23(日) 16:03:07.14",">>1
アカヒが捏造したんだが",,>>1,ID:KUC5kIqH0,,,,,,,,
"垢版
|
0060 名無しどんぶらこ 2025/11/23(日) 16:03:22.93",">>1
この石破って人、
拉致議連の会長時代、被害者家族と1度も会ったことがない無責任な人だよ。",,>>1,ID:4grmCjpf0(1/2),,,,,,,,
"垢版
|
0061 名無しどんぶらこ 2025/11/23(日) 16:03:23.64",アホは黙って鳥取に帰れ！,,,ID:NawLV53D0,,,,,,,,
"垢版
|
0062 名無しどんぶらこ 2025/11/23(日) 16:03:33.26","本人より。
反日ペテンクソ土人と税金サルの集まり　売国ペテンハゲが税金と人海戦術で捏造サイトを作って勝手に祭り上げたりしてます
これは捏造サイトなので税金で行われてるフィッシングサイトでペテンです（犯人はもちろん売国ペテンハゲと税金ザル及び反日ペテンクソ土人）
特技は捏造　ホラ吹き　ネットで捏造や工作行為　ハセカラ騒動は反日ペテンクソ土人と売国ザル（税金もらってる関係者）が起こした存在しない捏造事件で　登場人物は税金もらってる関係者だらけです

本人は人間関係自体　もう８年ぐらい必要以上で人と関わっていません
整形がどうのこうの　整形していません　工作です　しようと思ったことすらないです

今　都内に歩いてる外人は基本的に全てそれだと思って正解です

追記
高市早苗　こいつも売国クソジジイと反日ペテンクソ土人の仲間の傀儡クソ漏らしうんこババアなので追放推奨です
（女性の味方みたいな顔してますが　真相は逆で女性の敵です）
次から次へと売国ハゲの傀儡人形みたいなのが表に出てこようとしますが　似たようなもので意味がないです
クソ漏らしハゲオムツのなすりつけ政治と極悪政治をいつまでも続けようとしてます

就任早々に　税金を使ってクソザルを動員してネットでペテン工作をずっとしてます
理由は主に売国目的です　日本を反日ペテンクソ土人に乗っ取らせるためです

こいつが暴れてる理由はバーコードハゲ（石破）と同じで反日ペテンクソ土人に日本を売り渡すためです
今すぐ日本から追放した方がいい最悪の売国奴です
日本女性の味方という仮面をかぶってますが　真相は売国オムツハゲと完全にグルで女性の敵です

高市早苗（クソ漏らしうんこババア）がした行為
就任早々に税金でサルを人員動員してネットでペテン工作及び売国行為
反日ペテンクソ土人とクソ漏らしオムツハゲの性犯罪に加担及び性犯罪に誘導
しかも反日ペテンクソ土人と完全にグルになって調子に乗って暴れてますね
今すぐ氏んだほうがいい

暴れてる犯人はこれが正体です
https://www.instagram.com/fvooo00/

注意）特に今　都内で歩いてるハゲた外人を見かけたら　基本的にそれが犯人と思って正解です",https://www.instagram.com/fvooo00/,https://www.instagram.com/fvooo00/,ID:ai9Yqt6v0,,,,,,,,
"垢版
|
0063 名無しどんぶらこ 2025/11/23(日) 16:03:36.46",石破の方が上だからな,,,ID:zjT7eMO00(2/2),,,,,,,,
"垢版
|
0064 名無しどんぶらこ 2025/11/23(日) 16:04:03.02","苦言するものでもなく否定するものでもない
石破らしいスタンス",,,ID:35OdHGWC0,1,,,,,,,
"垢版
|
0065 名無しどんぶらこ 2025/11/23(日) 16:04:15.35",女は社会にいらんのがよくわかる,,,ID:YgJJADFM0,,,,,,,,
"垢版
|
0066 名無しどんぶらこ 2025/11/23(日) 16:04:29.75",">>1
お前の師匠田中角栄から中国に対する土下座外交が始まり今このザマだろ、アホが
この不平等な関係を是正し対等な関係にしなければならないのに、今までどんだけ国民へ迷惑かけたと思ってんだ売国奴がw",,>>1,ID:yEEh21cW0(1/4),,,,,,,,
"垢版
|
0067 名無しどんぶらこ 2025/11/23(日) 16:04:37.44",キモすぎんべ,,,ID:YAIhoOix0,,,,,,,,
"垢版
|
0068 名無しどんぶらこ 2025/11/23(日) 16:04:48.06",もう親中政治なんて懲り懲りだわ,,,ID:+lENzGjy0,1,,,,,,,
